Experiment_type,code,tree_quality,species,quality,Nitrogen_added,mix_type,species_richness,number,litter_type_quality_tree_1,litter_type_quality_tree_2,quality_N,mesh_size,total_mass_g,sample_plot,plot,harvest,handling_loss_bags,handling_loss,initial_mass_g,Time_at_harvest,final_mass_g
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,5,4.026,4.015,20.021,2 mm,28.062,R5,plot2,harvest1,NA,-1.452,26.61,30,6.182
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,6,4,4.004,20.026,2 mm,28.03,R6,plot2,harvest2,NA,-1.452,26.578,60,5.262
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,7,4.03,3.94,20.04,2 mm,28.01,R7,plot2,harvest3,NA,-1.452,26.558,220,4.37
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,8,4.053,4.028,20.045,2 mm,28.126,R8,plot2,harvest4,NA,-1.452,26.674,365,0
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,9,4.027,4.016,20.096,2 mm,28.139,R9,plot3,harvest1,NA,-1.452,26.687,30,5.906
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,10,4.03,4.06,19.99,2 mm,28.08,R10,plot3,harvest2,NA,-1.452,26.628,60,5.219
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,11,4,4,19.995,2 mm,27.995,R11,plot3,harvest3,NA,-1.452,26.543,220,4.85
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,12,4.03,4.037,20.04,2 mm,28.107,R12,plot3,harvest4,NA,-1.452,26.655,365,2.539
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,13,4.038,4,20.03,2 mm,28.068,,,,26.168,-1.452,26.616,,NA
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,14,4,4.002,19.992,2 mm,27.994,,,,26.686,-1.452,26.542,,NA
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,15,4.008,4.034,20.012,2 mm,28.054,,,,26.906,-1.452,26.602,,NA
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,1,4.02,4,20.02,0.07 mm,28.04,R1,plot1,harvest1,NA,-2.823,25.217,30,5.373
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,2,4.015,4.013,20.028,0.07 mm,28.056,R2,plot1,harvest2,NA,-2.823,25.233,60,5.323
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,3,4.05,4.4,20.044,0.07 mm,28.494,R3,plot1,harvest3,NA,-2.823,25.671,220,4.3
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,4,4,4.023,20.026,0.07 mm,28.049,R4,plot1,harvest4,NA,-2.823,25.226,365,2.572
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,5,4.051,4.045,20.023,0.07 mm,28.119,R5,plot2,harvest1,NA,-2.823,25.296,30,6.032
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,6,4.07,4.08,20.002,0.07 mm,28.152,R6,plot2,harvest2,NA,-2.823,25.329,60,5.156
